db,table,column,LOC,LOC_sub,CAT,CAT_sub,CAN_ques,time
california_schools,schools,virtual,,,v,,,
,,statustype,,,v,,,
,,district,v,,,,,
,,mailcity,v,,,,,
,,mailstate,v,,,,,
,,city,v,,,,,
,,fundingtype,,,v,,,
,,doctype,,,v,,,
financial,account,frequency,,,v,,,
,district,a2,v,,,,,
,,a3,v,,,,,
,disp,type,,,v,,,
,loan,date,,,v,,,v
,client,gender,,,v,,,
,trans,type,,,v,,,
,,operation,,,v,,,
,,k_symbol,,,v,,,
,,bank,,,v,,,
,card,type,,,v,,,
toxicology,molecule,label,,,v,,,
,bond,bond_type,,,v,,,
card_games,cards,bordercolor,,,v,,,
,,rarity,,,v,,,
,,type,,,v,,,
,,power,,,v,,,
,,availability,,,v,,,
,,originaltype,,,v,,,
,,subtypes,,,v,,,
,,frameversion,,,v,,,
,,colors,,,v,v,,
,,frameeffects,,,v,,,
,,types,,,v,,,
,,layout,,,v,,,
,,watermark,,,v,,,
,,promotypes,,,v,,,
,legalities,format,,,v,,,
,,status,,,v,,,
,foreign_data,language,,,v,,,
,set_translations,language,,,v,,,
,rulings,date,,,v,,,v
,sets,block,,,v,,,
,,type,,,v,,,
codebase_community,users,location,v,v,,,,
superhero,colour,colour,,,v,,,
,superpower,power_name,,,v,,,
,gender,gender,,,v,,,
,race,race,,,v,,,
,alignment,alignment,,,v,,,
formula_1,circuits,location,v,v,,,,
,,country,v,,,,,
,status,status,,,v,,,
,drivers,nationality,v,,,,,
,constructors,nationality,v,,,,,
european_football_2,player_attributes,defensive_work_rate,,,v,,,
,,preferred_foot,,,v,,,
,,attacking_work_rate,,,v,,,
,team_attributes,chancecreationpassingclass,,,v,,,
,,buildupplayspeedclass,,,v,,,
,match,season,,,v,,,v
,country,name,v,,,,,
thrombosis_prediction,patient,sex,,,v,,,
,,diagnosis,,,v,,,
,,birthday,,,v,,,v
,examination,diagnosis,,,v,,,
,,symptoms,,,v,,,
,laboratory,rnp,,,v,,,
,,sm,,,v,,,
,,ssb,,,,,,
student_club,major,college,,,v,,,
,,department,,,v,,,
,event,type,,,v,,,
,,status,,,v,,,
,,location,v,,,,,
,member,t_shirt_size,,,v,,,
,,position,v,v,,,,
,budget,category,,,v,,,
,,event_status,,,v,,,
,zip_code,state,v,,,,,
,,city,v,,,,,
,,type,,,v,,,
,,county,v,,,,,
,expense,expense_description,,,v,,,
,,approved,,,v,,,
,income,source,,,v,,,
debit_card_specializing,gasstations,segment,,,v,,,
,,country,v,,,,,
,yearmonth,date,,,v,,,v
,transactions_1k,date,,,v,,,v
,customers,currency,,,v,,,
,,segment,,,v,,,
