db,table,column,LOC,LOC_sub,CAT,CAT_sub,CAN_ques,time
pets_1,pets,pettype,,,v,v,,
,student,sex,,,v,,,
car_1,continents,continent,v,,,,,
,car_names,model,,,v,,,
,model_list,model,,,v,,,
flight_2,airlines,airline,,,v,,,
,airports,city,v,,,,,
,flights,sourceairport,,,v,,,
,,destairport,,,v,,,
cre_Doc_Template_Mgt,ref_template_types,template_type_description,,,v,,,
course_teach,teacher,hometown,v,,,,,
,course,course,,,v,,,
battle_death,ship,ship_type,,,v,,,
,,location,v,v,,,,
,,disposition_of_ship,,,v,,,
student_transcripts_tracking,addresses,city,v,,,,,
tvshow,tv_channel,language,,,v,,,
poker_player,people,nationality,v,,,,,
voter_1,votes,state,v,,,,,
world_1,country,governmentform,,,v,,,
,,region,v,v,,,,
,,continent,v,,,,,
,city,district,v,,,,,
,countrylanguage,language,,,v,,,
,,isofficial,,,v,,,
orchestra,conductor,nationality,v,,,,,
,performance,type,,,v,,,
,orchestra,major_record_format,,,v,,,
dog_kennels,professionals,state,v,,,,,
,owners,state,v,,,,,
singer,singer,citizenship,v,,,,,
