db,table,column,LOC,LOC_sub,CAT,CAT_sub,CAN_ques,time
department_management,head,born_state,v,,,,,
,management,temporary_acting,,,v,,,
farm,farm_competition,theme,,,v,,,
,city,status,,,v,,,
bike_1,station,city,v,,,,,
,weather,events,,,v,,v,
musical,musical,award,,,v,,,
flight_1,flight,origin,v,v,,,,
,,destination,v,v,,,,
allergy_1,allergy_type,allergytype,,,v,v,,
,,allergy,,,v,v,,
,has_allergy,allergy,,,v,v,,
,student,sex,,,v,,,
store_1,invoices,billing_city,v,,,,,
,,billing_state,v,,,,,
,customers,city,v,,,,,
,,state,v,,,,,
,employees,title,,,v,,,
journal_committee,journal_committee,work_type,,,v,v,,
coffee_shop,member,membership_card,,,v,,,
chinook_1,customer,state,v,,,,,
,employee,city,v,,,,,
medicine_enzyme_interaction,enzyme,product,,,v,,,
,,location,,,v,,,
,medicine,fda_approved,,,v,,,
,medicine_enzyme_interaction,interaction_type,,,v,,,
university_basketball,university,affiliation,,,v,,v,
phone_1,phone,accreditation_type,,,v,,,
,,company_name,,,v,,,
,screen_mode,type,,,v,,,
,chip_model,wifi,,,v,,,
match_season,match_season,college,v,,,,,
,,position,,,v,,,
,country,capital,v,,,,,
election_representative,representative,party,,,v,,v,
,,state,v,,,,,
game_injury,injury_accident,injury,,,v,,,
soccer_1,player_attributes,preferred_foot,,,v,,,
performance_attendance,performance,location,v,,,,,
,member,role,,,v,,v,
college_2,classroom,building,v,,,,,
,teaches,semester,,,v,,,
,takes,semester,,,v,,,
,section,semester,,,v,,,
,course,title,,,v,,,
riding_club,player,occupation,,,v,,v,
,,residence,v,,,,,
gymnast,people,hometown,v,v,,,,
browser_web,web_client_accelerator,connection,,,v,,,
protein_institute,institution,type,,,v,,v,
products_for_hire,customers,good_or_bad_customer,,,v,,,
phone_market,phone,carrier,,,v,,,
gas_company,company,headquarters,v,v,,,,
,,main_industry,,,v,v,v,
,,company,,,v,,,
company_1,dependent,relationship,,,v,,v,
,dept_locations,dlocation,v,,,,,
local_govt_in_alabama,events,event_details,,,v,,v,
formula_1,drivers,nationality,v,,,,,
,constructors,nationality,v,,,,,
csu_1,campuses,location,v,v,,,,
,,campus,v,,,,,
,,county,v,,,,,
county_public_safety,county_public_safety,location,v,,,,,
inn_1,rooms,decor,,,v,,,
,,bedtype,,,v,,,
party_host,party,party_theme,,,v,,,
election,party,party,,,v,,,
,election,committee,,,v,,,
news_report,journalist,nationality,v,,,,,
customer_deliveries,customers,payment_method,,,v,,,
sakila_1,address,district,v,,,,,
,film,rating,,,v,,,
loan_1,bank,city,v,,,,,
,,state,v,,,,,
,customer,state,v,,,,,
,,acc_type,,,v,,,
,loan,loan_type,,,v,,,
station_weather,train,destination,v,,,,,
,,origin,v,,,,,
college_1,professor,prof_high_degree,,,v,,,
,department,dept_name,,,v,,,
sports_competition,competition,competition_type,,,v,,,
,player,position,,,v,,,
hr_1,locations,city,v,,,,,
music_1,song,languages,,,v,,,
,,genre_is,,,v,,,
,files,formats,,,v,,,
,artist,gender,,,v,,,
,,country,v,,,,,
baseball_1,park,state,v,,,,,
,,city,v,,,,,
mountain_photos,camera_lens,brand,,,v,,,
program_share,channel,owner,,,v,,,
,program,origin,v,,,,,
e_learning,student_tests_taken,test_result,,,v,v,,
ship_mission,ship,nationality,v,,,,,
company_employee,company,industry,,,v,v,v,
club_1,club,clublocation,v,v,,,,
,member_of_club,position,,,v,v,,
tracking_grants_for_research,organisation_types,organisation_type_description,,,v,v,,
