db,column,LOC,LOC_sub,CAT,CAT_sub,CAN_ques,time
1-10015132-11,Position,,,v,,,
1-1008653-1,Official or native language(s) (alphabet/script),,,v,,,
,Capital ( exonym ),v,,,,,
,Capital ( endonym ),v,,,,,
1-10342194-3,District,v,,,,,
1-10712301-5,Region,v,,,,,
1-10733530-3,Nation,v,,,,,
1-10798421-1,Village (Slovenian),v,,,,,
1-1134091-4,District,v,,,,,
,Reason for change,,,v,,,
1-11336756-6,Direction,,,v,,,
1-1160161-12,Target,v,,,,,
1-11609814-1,purity,,,v,,,
,penance,,,v,,,
,permanence of the body,,,v,,,
,constancy,,,v,,,
1-11734041-2,Position,,,v,,,
1-11961582-6,Location Attendance,v,,,,,
1-12094609-1,State,v,,,,,
1-1211545-2,Location,,,v,,,
1-1281200-1,Round,,,v,,,
,Phase,,,v,,,
1-1341453-15,District,v,,,,,
1-1341604-11,District,v,,,,,
1-1341604-10,District,v,,,,,
,Result,,,v,,,
1-1341640-11,District,v,,,,,
1-1341672-14,District,v,,,,,
1-1342218-17,District,v,,,,,
,Party,,,v,,,
1-1342233-24,District,v,,,,,
1-1342233-5,District,v,,,,,
1-1342249-5,District,v,,,,,
1-1342338-3,District,v,,,,,
,Result,,,v,,,
1-1342359-39,District,v,,,,,
1-1342359-5,Party,,,v,,,
,District,v,,,,,
1-1342370-39,District,v,,,,,
1-13618584-2,District,v,,,,,
1-13619135-7,Location Attendance,v,,,,,
1-13636-1,Numeral system,,,v,,,
,First operational,,,,,,
1-13677808-1,Rank,v,,,,,
1-13770460-3,Ends,,,v,,,
1-1397655-1,City,v,,,,,
1-14342480-6,Position,,,v,,,
1-14342592-8,Position,,,v,,,
1-14345690-4,Finished,,,v,,,
,Exited,,,v,,,
1-1447085-1,Place,v,,,,,
1-1449169-1,Common,v,,,,,
1-1449176-1,Common of,v,,,,,
,Rank,,,v,,,
1-14624447-33,Hometown,v,,,,,
1-1473672-8,Position,,,v,,,
1-14850099-18,Planet,,,v,,,
,Cardinal direction,,,v,,,
1-14903081-1,Location,v,,,,,
1-14937957-1,Martial Art/Style,,,v,,,
,City,v,,,,,
1-14946657-3,Age band,,,v,,,
1-1500146-1,Delay,,,v,,,
1-1506950-4,Finish,,,v,,,
1-15652027-1,Conflict,,,v,,,
1-15736385-1,Location,v,,,,,
1-157826-1,City/town,v,,,,,
,Municipality,v,,,,,
1-15887683-15,Language,,,v,,,
1-16066063-1,City 1,v,,,,,
,City 2,v,,,,,
1-16275828-4,Location,v,,,,,
1-16381914-1,Location,v,,,,,
1-1708050-1,Position,,,v,,v,
1-17265535-6,Equation,,,v,,v,
1-17516967-1,State,v,,,,,
1-1805191-14,Party,,,v,,,
1-1805191-50,Party,,,v,,,
1-18183850-12,Outcome,,,v,,,
1-18207285-2,Result,,,v,,,
1-1857216-1,Transmission,,,v,,v,
1-18752986-1,Location,v,,,,,
1-1888051-1,Province,v,,,,,
,Capital,v,,,,,
1-19089486-1,Round,,,v,,,
1-1942366-9,Category,,,v,,,
1-1965650-11,Position,,,v,,,
1-19753079-35,Result,,,v,,,
1-19765685-2,City,v,,,,,
1-20549371-3,Type of powertrain,,,v,,,
1-20823568-2,Sporting profession,,,v,,v,
?,,,,,,,
1-20925393-3,Cardinal direction,,,v,,v,
1-214479-8,Y = 2011,,,v,,,
,Expression,,,v,,,
,Y = 2010,,,v,,,
,Y = 2009,,,v,,,
1-21514460-1,Headquarters,v,,,,,
1-2151643-3,Outcome,,,v,,,
,Surface,,,v,,,
1-21734764-1,Administrative division,v,,,,,
1-21821014-1,Location,v,,,,,
1-2190919-1,Position,,,v,,v,
1-21907770-4,Versus,v,,,,,
1-2231241-1,Election,,,v,,,v
1-224794-3,District,v,,,,,
1-224837-4,District,v,,,,,
1-225093-4,District,v,,,,,
1-225100-4,District,v,,,,,
1-225102-4,District,v,,,,,
1-225204-4,District,v,,,,,
1-22897453-1,States,v,,,,,
1-23235767-4,Surface,,,v,,v,
,Championship,v,,,,,
1-23346303-3,Location,v,,,,,
,Opponent,v,,,,,
1-2387790-2,Position,,,v,,v,
1-23958917-1,Location,v,,,,,
1-24195232-1,Location,v,,,,,
1-24463470-1,Circuit,v,,,,,
,Unlocks,v,,,,,
1-2454589-1,Home city,v,,,,,
1-24565004-15,Position,,,v,,,
1-2523809-1,Coverage,v,,,,,
1-25244412-1,State,,,,,,
1-254776-1,Location,v,,,,,
1-2562572-11,Type,,,v,,,
1-25818630-1,Constituency,v,,,,,
1-25933764-1,Locale,v,,,,,
1-261951-1,Municipality,v,,,,,
